"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 09, 2016","51,118.46","51,632.81","51,632.81","50,831.67","3.31M","-0.99%"
"Jun 08, 2016","51,629.29","50,490.11","51,811.58","50,490.11","4.35M","2.26%"
"Jun 07, 2016","50,487.86","50,431.68","50,641.12","50,004.67","3.05M","0.11%"
"Jun 06, 2016","50,431.80","50,627.24","50,923.54","50,097.27","3.11M","-0.37%"
"Jun 03, 2016","50,619.50","49,888.31","50,634.36","49,888.31","3.43M","1.47%"
"Jun 02, 2016","49,887.24","49,007.81","49,905.57","48,780.54","3.63M","1.78%"
"Jun 01, 2016","49,012.65","48,468.19","49,056.89","48,199.87","3.39M","1.12%"
"May 31, 2016","48,471.71","48,963.18","49,269.22","48,291.51","5.80M","-1.01%"
"May 30, 2016","48,964.34","49,051.17","49,203.06","48,799.22","1.21M","-0.18%"
"May 27, 2016","49,051.49","49,481.32","49,805.14","48,868.56","2.80M","-0.87%"
"May 25, 2016","49,482.86","49,346.50","50,356.95","49,346.50","3.58M","0.28%"
"May 24, 2016","49,345.19","49,330.42","50,002.07","49,152.88","3.24M","0.03%"
"May 23, 2016","49,330.42","49,709.17","49,709.17","48,694.73","3.52M","-0.79%"
"May 20, 2016","49,722.75","50,132.65","50,821.74","49,722.75","3.36M","-0.82%"
"May 19, 2016","50,132.53","50,556.06","50,556.06","49,588.26","4.03M","-0.85%"
"May 18, 2016","50,561.70","50,836.08","51,373.21","50,300.63","4.20M","-0.55%"
"May 17, 2016","50,839.44","51,795.46","51,946.10","50,689.36","3.99M","-1.86%"
"May 16, 2016","51,802.92","51,803.33","52,305.46","51,584.51","3.64M","-0.00%"
"May 13, 2016","51,804.31","53,236.48","53,249.73","51,365.57","4.45M","-2.70%"
"May 12, 2016","53,241.31","52,765.27","53,798.05","52,424.04","4.77M","0.90%"
"May 11, 2016","52,764.46","53,072.40","53,976.29","52,735.94","4.48M","-0.58%"
"May 10, 2016","53,070.91","50,994.01","53,070.91","50,994.01","4.21M","4.08%"
"May 09, 2016","50,990.06","51,716.51","51,716.51","49,907.77","5.09M","-1.41%"
"May 06, 2016","51,717.83","51,670.57","52,158.95","51,204.04","3.40M","0.09%"
"May 05, 2016","51,671.04","52,568.61","53,070.71","51,310.97","3.65M","-1.68%"
"May 04, 2016","52,552.80","52,253.14","52,672.44","51,930.77","4.40M","0.56%"
"May 03, 2016","52,260.19","53,557.14","53,557.14","52,260.19","4.01M","-2.43%"
"May 02, 2016","53,561.53","53,909.53","54,112.79","53,265.28","3.39M","-0.65%"
"Apr 29, 2016","53,910.51","54,316.76","54,705.14","53,591.60","5.05M","-0.74%"
"Apr 28, 2016","54,311.97","54,475.28","54,977.70","53,963.10","4.55M","-0.30%"
"Apr 27, 2016","54,477.78","53,094.22","54,559.56","53,094.22","5.05M","2.63%"
"Apr 26, 2016","53,082.50","51,867.04","53,107.76","51,838.25","3.87M","2.35%"
"Apr 25, 2016","51,861.71","52,911.07","52,948.66","51,748.28","3.81M","-1.98%"
"Apr 22, 2016","52,907.88","53,630.07","53,630.07","52,629.48","4.39M","-1.35%"
"Apr 20, 2016","53,630.93","53,710.68","53,857.36","53,149.00","4.69M","-0.15%"
"Apr 19, 2016","53,710.05","52,894.08","54,054.03","52,894.08","5.19M","1.54%"
"Apr 18, 2016","52,894.08","53,228.74","53,478.75","52,305.37","4.53M","-0.63%"
"Apr 15, 2016","53,227.74","52,414.24","53,390.42","52,414.24","5.20M","1.56%"
"Apr 14, 2016","52,411.02","53,150.34","53,699.35","52,242.23","5.66M","-1.39%"
"Apr 13, 2016","53,149.84","52,009.52","53,843.74","52,009.52","6.57M","2.21%"
"Apr 12, 2016","52,001.86","50,166.46","52,327.21","50,166.46","5.31M","3.66%"
"Apr 11, 2016","50,165.47","50,303.33","51,088.89","50,078.23","4.18M","-0.25%"
"Apr 08, 2016","50,292.93","48,517.02","50,485.98","48,517.02","5.20M","3.67%"
"Apr 07, 2016","48,513.10","48,099.11","48,940.48","48,099.11","3.15M","0.87%"
"Apr 06, 2016","48,096.24","49,053.82","49,053.82","47,873.65","3.93M","-1.95%"
"Apr 05, 2016","49,053.62","48,778.04","49,629.43","48,148.75","3.66M","0.56%"
"Apr 04, 2016","48,779.99","50,556.18","50,556.18","48,600.45","3.67M","-3.52%"
"Apr 01, 2016","50,561.53","50,054.41","50,767.88","49,360.87","4.01M","1.01%"
"Mar 31, 2016","50,055.27","51,248.29","51,248.29","49,642.15","4.38M","-2.33%"
"Mar 30, 2016","51,248.92","51,154.99","52,261.94","50,899.85","4.88M","0.18%"
"Mar 29, 2016","51,154.99","50,839.28","51,764.75","50,387.33","4.45M","0.62%"
"Mar 28, 2016","50,838.23","49,686.52","51,149.11","49,686.52","3.62M","2.38%"
"Mar 24, 2016","49,657.39","49,686.04","49,686.04","48,777.80","3.80M","-0.07%"
"Mar 23, 2016","49,690.05","51,004.57","51,004.57","49,490.73","3.75M","-2.59%"
"Mar 22, 2016","51,010.19","51,170.48","51,215.15","50,811.59","4.02M","-0.32%"
"Mar 21, 2016","51,171.55","50,815.53","51,370.19","50,764.53","3.82M","0.70%"
"Mar 18, 2016","50,814.66","50,915.46","51,307.69","50,202.02","5.62M","-0.19%"
